cell_id	x	y	celltype	valve	score__Valve_defects	z__Valve_defects	score__Atrioventricular_septal_defect	z__Atrioventricular_septal_defect	score__Atrial_septal_defect	z__Atrial_septal_defect	score__Ventricular_septal_defect	z__Ventricular_septal_defect	score__Malformation_of_the_outflow_tract	z__Malformation_of_the_outflow_tract	score__HypertrophicCardiomyopathy	z__HypertrophicCardiomyopathy	score__DilatedCardiomyopathy	z__DilatedCardiomyopathy	score__PCGC_DeNovoVariants	z__PCGC_DeNovoVariants	score__Single_ventricle_disease	z__Single_ventricle_disease	score__Familial_thoracic_aortic_aneurysm_and_aortic_dissection	z__Familial_thoracic_aortic_aneurysm_and_aortic_dissection
ATR_090_set19__431	18180.434336298742	17518.894309519692	Pericyte	False	0.4262997	0.28143334	0.40658015	-0.3322502	0.42223948	-0.7050482	0.30359966	-1.6713934	0.47361562	0.6021786	0.116169445	-0.5577955	0.23244148	-0.31953606	0.41271278	-0.26444966	0.41386405	-1.0159237	0.79526913	0.8441373
ATR_090_set19__454	18143.47219469848	17716.130666113946	vCM-LV-Trabecular II	False	0.33759448	-0.85967076	0.4157094	-0.22763489	0.4539954	-0.23447287	0.40957722	-0.14122611	0.40012994	-0.44485274	1.3444694	3.068806	1.0127774	2.901606	0.3743659	-0.9499406	0.56040645	0.5196932	0.46841833	-0.31629094
ATR_090_set19__465	18123.49802381736	17730.188801296707	vCM-LV-Hybrid	False	0.3473116	-0.73466986	0.42740664	-0.093592234	0.46144503	-0.12408053	0.41583228	-0.050911814	0.40802535	-0.33235815	1.122518	2.413486	0.87696636	2.3409927	0.369291	-1.0406595	0.57067156	0.6272613	0.46661335	-0.3226992
ATR_090_set19__52	18211.420362641842	17696.90311079153	vCM-LV-Hybrid	False	0.3448108	-0.7668398	0.36630356	-0.7937936	0.46704397	-0.04111272	0.4435261	0.3489479	0.39375386	-0.5356999	1.4723978	3.4465194	1.1109015	3.3066514	0.3930383	-0.6161517	0.48127198	-0.3095564	0.43122685	-0.44833297
ATR_090_set19__533	17991.546085634272	17564.594153064383	vCM-LV-Compact I	False	0.3601135	-0.569986	0.36851913	-0.7684047	0.44554216	-0.3597374	0.396131	-0.33537054	0.4200023	-0.16170923	0.8397415	1.578578	0.65744734	1.434842	0.4161475	-0.20305046	0.41514337	-1.0025177	0.5755921	0.064211324
ATR_090_set19__565	17949.839452924985	17673.194326671706	vCM-LV-Trabecular II	False	0.34678265	-0.74147403	0.378049	-0.65919876	0.46117517	-0.12807946	0.4399257	0.29696333	0.39698017	-0.4897311	1.4755511	3.4558296	1.1039699	3.2780387	0.38939962	-0.681197	0.49820614	-0.13210346	0.44585937	-0.3963827
ATR_090_set19__586	18106.475107864295	17727.35588933452	vCM-LV-Trabecular II	False	0.3191747	-1.0966227	0.35301855	-0.9460312	0.4349087	-0.51730955	0.39860946	-0.2995852	0.3612899	-0.99824977	1.4027557	3.2408984	1.0384052	3.0073946	0.3664975	-1.0905967	0.45426056	-0.592609	0.43306562	-0.4418047
ATR_090_set19__663	18071.07343896473	17754.513296332356	vEndocardial	False	0.47894776	0.9586982	0.571468	1.5572569	0.53342223	0.942514	0.36137483	-0.83720106	0.47623825	0.6395461	0.4079348	0.30365258	0.39751625	0.36187464	0.55407125	2.2624817	0.35228077	-1.6612546	1.0968862	1.9149773
ATR_090_set19__682	18097.946435994865	17573.097620929857	Proliferating vFibro	False	0.34858042	-0.71834755	0.33904964	-1.1061059	0.41006157	-0.88550675	0.4123423	-0.1013021	0.39051303	-0.5818755	0.37263513	0.19942895	0.34054974	0.12672307	0.4210138	-0.11606019	0.4171064	-0.9819473	0.5350909	-0.07958122
ATR_090_set19__684	17985.85184079029	17777.934615008933	vCM-LV-Trabecular II	False	0.32010165	-1.0846986	0.3786302	-0.65253854	0.4174066	-0.7766645	0.3847496	-0.49970222	0.37557647	-0.7946932	0.98720896	2.013981	0.75951606	1.8561705	0.34696364	-1.4397848	0.5299649	0.20069668	0.4543865	-0.36610854
ATR_091_set19__144	18448.27654047752	17583.16870195895	vCM-LV-Compact II	False	0.38680133	-0.22667366	0.42797902	-0.08703309	0.50749725	0.55834454	0.48096085	0.88945323	0.4373086	0.08487265	1.4236895	3.3027062	1.0878544	3.2115154	0.42406565	-0.06150521	0.55377525	0.45020497	0.46548736	-0.32669684
ATR_091_set19__157	18440.329342442034	17696.984622069962	vCM-LV-Compact I	False	0.2939414	-1.421224	0.32108194	-1.312004	0.4130493	-0.84123284	0.392143	-0.39295164	0.3405717	-1.2934446	1.4886237	3.494427	1.0931368	3.2333207	0.34784797	-1.4239764	0.43899587	-0.7525676	0.35929096	-0.7037291
ATR_091_set19__180	18419.185096840403	17538.757562934094	vCM-LV-Compact II	False	0.4073659	0.037868846	0.42801687	-0.08659937	0.530856	0.9044865	0.51848906	1.431308	0.46020287	0.41107243	1.4518584	3.385876	1.136352	3.411708	0.44191206	0.25751808	0.54915416	0.4017806	0.47198737	-0.30361968
ATR_091_set19__381	18253.734824560113	17577.430440607422	vCM-LV-Compact I	False	0.32885048	-0.9721536	0.38505003	-0.5789714	0.452792	-0.25230572	0.40107226	-0.26402575	0.38195196	-0.70385456	1.3071282	2.9585545	1.0084858	2.8838906	0.37196687	-0.99282575	0.5495281	0.4056993	0.466316	-0.32375485
ATR_091_set19__459	18423.546303280535	17642.19033070721	vCM-LV-Compact I	False	0.37882802	-0.32924238	0.41567177	-0.22806624	0.50781995	0.56312644	0.4742185	0.79210305	0.42599976	-0.076256976	1.6208167	3.8847315	1.2248126	3.7768643	0.43438247	0.122918785	0.5310672	0.21224734	0.46461454	-0.32979563
ATR_091_set19__474	18375.99281017294	17706.034231731097	Pericyte	False	0.3020857	-1.3164558	0.3458173	-1.0285529	0.39798725	-1.0644301	0.38925254	-0.43468592	0.36661583	-0.9223652	1.1403972	2.466275	0.88784456	2.3858967	0.35906646	-1.2234342	0.5073611	-0.036168523	0.4355241	-0.4330763
ATR_091_set19__566	18491.7597408835	17604.990966950172	vCM-LV-Compact I	False	0.32828015	-0.9794903	0.34727782	-1.0118163	0.4411621	-0.42464316	0.4126759	-0.09648571	0.36716872	-0.91448754	1.4869905	3.4896047	1.1162384	3.3286815	0.37237692	-0.9854957	0.4874571	-0.24474262	0.3808299	-0.6272588
