	Atrial_septal_defect	Atrioventricular_septal_defect	DilatedCardiomyopathy	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	HypertrophicCardiomyopathy	Malformation_of_the_outflow_tract	PCGC_DeNovoVariants	Single_ventricle_disease	Valve_defects	Ventricular_septal_defect
VEN_204_set8__426	-0.2044	-0.2415	0.3736	-0.3417	0.5847	-0.1924	-0.1875	-0.1579	-0.2901	-0.2214
VEN_204_set8__453	-0.0046	-0.1985	0.5095	-0.4701	0.3913	-0.1389	-0.1585	0.1066	-0.0632	-0.0511
VEN_204_set8__498	-0.3121	-0.3402	0.4151	-0.4876	0.6465	-0.2623	-0.3423	-0.2426	-0.3259	-0.1470
VEN_204_set8__554	0.0177	0.0246	0.5411	-0.1624	0.7864	-0.0183	0.0034	0.0907	-0.0453	-0.0021
VEN_204_set8__620	0.0617	-0.1752	-0.2791	0.8906	-0.5163	-0.1646	0.2674	0.7579	0.1318	-0.1277
VEN_204_set8__622	0.0448	0.1318	-0.5006	0.3342	-0.6536	0.0795	-0.0383	-0.2139	0.1296	0.0925
VEN_204_set8__703	-0.5254	-0.9128	0.4565	-0.5174	0.3128	-0.5769	-0.5940	-0.7207	-0.5397	-0.3724
VEN_204_set8__730	0.2052	0.0783	0.8113	-0.1599	1.0681	0.0801	0.0746	0.1574	0.1036	0.1156
VEN_204_set8__855	0.1200	0.0094	0.5205	-0.1569	0.6265	0.0524	0.0353	0.1796	0.0421	0.0798
VEN_204_set8__864	-0.4948	-0.5681	-0.0121	-0.5399	0.5289	-0.3945	-0.2785	-0.9594	-0.5456	-0.9083
VEN_204_set8__882	-0.0679	-0.1753	0.6183	-0.2348	0.9515	-0.1104	-0.1101	-0.0417	-0.1326	-0.0885
VEN_204_set8__938	-0.3135	-0.2175	0.1754	-0.3216	0.4063	-0.2225	-0.2526	-0.0795	-0.3522	-0.2999
VEN_204_set8__94	-0.2415	-0.3280	0.4730	-0.3562	0.7998	-0.2329	-0.2299	-0.1967	-0.3261	-0.2671
VEN_204_set8__952	-0.0814	-0.0901	0.6365	-0.4642	0.6901	-0.0577	-0.1084	0.0262	-0.1628	-0.1144
VEN_205_set1__101	-0.3257	-0.2853	-0.7461	0.3545	-1.0076	-0.2131	0.0377	-0.2772	-0.2236	-0.2285
VEN_205_set1__189	0.0806	0.0558	0.5817	-0.2012	0.7341	0.0254	0.0229	0.1446	0.0103	0.0863
VEN_205_set1__21	-0.1499	-0.4714	-0.9333	-0.3041	-0.9898	-0.4053	-0.1279	-0.4497	-0.1075	-0.0667
VEN_205_set1__295	0.1942	0.2503	-0.3846	0.3978	-0.5580	0.1792	0.1911	0.3395	0.1391	0.1077
