mapped_celltype	vCM-LV-AV	vCM-LV-Compact I	vCM-LV-Compact II	vCM-LV-Hybrid	vCM-LV-Trabecular I	vCM-LV-Trabecular II	vCM-LV/RV-Purkinje	vCM-RV-AV	vCM-RV-Compact	vCM-RV-Hybrid	vCM-RV-Proliferating	vCM-RV-Trabecular	vCM-IVS-His	aCM-LA	aCM-RA	Compact vFibro	Proliferating vFibro	Trabecular vFibro	VIC	aFibro	adFibro	EPDC	aEndocardial	vEndocardial	BEC	LEC	VEC	Pericyte	VSMC	Epicardial	Neuronal	WBC	ncCM-AVC-like	ncCM-IFT-like
SMC_2	0	6	1	0	0	1	0	0	4	1	2	4	0	4	15	0	0	2	1	3	1	0	4	9	1	0	0	48	764	0	1	0	2	4
SMC_3	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
SMC_cellcycle	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0
Epicardial_0	1	24	9	1	4	4	13	1	3	0	3	3	0	6	5	8	10	10	0	3	1	3	1	12	25	2	1	8	22	108	0	1	0	5
Epicardial_1	0	24	4	0	3	4	24	1	0	0	0	5	1	0	8	2	7	8	1	2	0	0	0	8	8	0	0	4	0	23	0	0	0	1
Epicardial_2	5	82	27	3	19	11	22	2	12	2	22	6	1	0	0	21	34	19	0	2	1	1	0	24	135	68	2	70	36	95	1	0	0	1
Epicardial_3	0	12	1	0	6	5	2	0	0	0	0	4	0	1	2	2	0	9	7	3	0	0	2	3	0	1	1	1	0	5	0	0	0	2
Epicardial_4	2	69	8	1	1	3	1	1	5	3	7	32	0	6	7	10	9	10	0	4	0	2	2	25	16	7	0	20	17	18	0	0	0	6
Epicardial_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Epicardial_cellcycle	0	5	1	0	1	2	7	0	0	0	1	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	1	1	3	0	0	0	5
Immune_mast_cell	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Immune_monocyte_1	8	115	112	3	11	15	9	3	18	8	25	6	4	35	66	17	12	13	15	11	0	5	8	13	244	14	15	27	16	16	5	208	3	39
Immune_monocyte_2	1	17	9	0	0	0	0	1	0	0	3	1	0	1	3	3	0	0	1	1	0	0	3	1	18	1	0	1	3	3	0	18	0	0
Immune_monocyte_cellcycle	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Macrophage	0	0	2	1	0	2	1	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	3	1	1	0	0	0	0	2	0	0
Immune_B_cell	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Immune_NK_cell	3	53	66	3	15	4	7	8	4	4	13	1	1	20	93	2	7	6	0	1	0	0	2	1	25	1	1	5	2	3	0	1	3	21
Immune_T_cell_1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Immune_T_cell_3	5	28	13	0	3	9	7	10	2	0	7	3	1	7	25	5	6	3	2	1	0	0	2	10	5	0	1	2	1	2	0	0	4	11
Immune_T_cell_4	1	17	31	0	0	2	5	1	2	4	5	0	0	41	161	1	1	2	1	1	0	1	2	0	26	0	1	6	5	4	1	1	2	18
SympatheticNeuron	0	25	12	2	0	0	2	1	7	1	8	3	0	21	14	0	3	3	4	0	0	1	0	1	11	1	0	14	4	0	39	0	3	3
SympatheticNeuron_nonadrenergic	11	134	180	4	10	10	4	13	19	24	64	14	0	119	89	1	1	0	3	3	1	2	4	4	33	7	5	75	53	7	50	1	3	44
SchwannCells_precursors	6	99	105	4	18	26	15	12	16	11	34	27	2	54	102	2	3	5	5	3	0	1	5	12	68	0	0	16	18	1	1	0	1	9
SchwannCells_premyelinating_1	0	10	7	0	1	4	2	2	5	1	0	2	0	16	31	0	1	2	0	3	1	0	4	5	13	0	1	0	14	1	0	0	1	3
SchwannCells_premyelinating_2	0	21	16	0	0	2	3	0	1	1	2	0	1	8	13	1	0	0	0	2	0	0	2	2	15	0	0	2	5	0	0	0	0	7
SchwannCells_premyelinating_3	0	2	2	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0
NC_progenitor	8	23	6	0	1	2	6	4	1	3	4	7	0	32	13	2	3	4	10	18	0	3	5	8	7	1	0	1	18	1	105	0	0	22
