gene	BEC	Compact vFibro	EPDC	Epicardial	LEC	Neuronal	Pericyte	Proliferating vFibro	Trabecular vFibro	VEC	VIC	VSMC	WBC	aCM-LA	aCM-RA	aEndocardial	aFibro	adFibro	ncCM-AVC-like	ncCM-IFT-like	vCM-IVS-His	vCM-LV-AV	vCM-LV-Compact I	vCM-LV-Compact II	vCM-LV-Hybrid	vCM-LV-Trabecular I	vCM-LV-Trabecular II	vCM-LV/RV-Purkinje	vCM-RV-AV	vCM-RV-Compact	vCM-RV-Hybrid	vCM-RV-Proliferating	vCM-RV-Trabecular	vEndocardial
NOTCH1	2.2289	-0.0626	0.4252	-0.2906	2.6553	1.4969	1.3952	0.1887	0.7422	1.4841	0.0484	0.6014	0.2314	-0.8501	-0.6442	1.0667	-0.0703	-0.3247	-0.8387	-0.7931	-0.8531	-1.0000	-0.8211	-0.7670	-0.7718	-0.6203	-0.7129	-0.7035	-0.9158	-0.6978	-0.8676	-0.6649	-0.6107	1.3165
JAG1	-0.0577	-0.4053	0.6017	0.0381	0.1928	2.2612	0.0719	-0.5017	0.1598	0.2420	-0.4720	3.7516	-0.6096	0.2508	0.2571	0.5752	0.6344	1.9708	-0.7852	0.5612	-0.7463	-0.8399	-0.7847	-0.7843	-0.7709	-0.6670	-0.5790	0.1131	-0.7610	-0.7398	-0.8152	-0.7283	-0.6545	0.0205
DLL4	4.3358	-0.4963	-0.4785	-0.4187	1.1829	-0.3504	0.2390	-0.3951	-0.2311	1.3398	-0.3752	0.8814	-0.3379	-0.4149	-0.3460	1.8211	-0.3529	-0.4940	-0.3811	-0.4595	-0.5289	-0.3490	-0.4893	-0.4951	-0.5159	-0.5145	-0.5139	-0.5190	0.1353	-0.4661	-0.4912	-0.4336	-0.4294	1.3422
MYH11	-0.1810	-0.2409	0.1161	-0.2074	-0.0489	-0.1263	-0.0847	-0.2146	-0.1463	-0.1261	-0.2296	5.6235	-0.1122	-0.2386	-0.2311	-0.0488	-0.0588	0.0762	-0.2612	0.1448	-0.2335	-0.2969	-0.2591	-0.2573	-0.2571	-0.2668	-0.2512	-0.2540	-0.2235	-0.2291	-0.2661	-0.2474	-0.2131	-0.1490
ACTA2	-1.0838	-0.5477	-0.2895	-0.6696	-1.1528	-0.7337	0.9076	-0.3697	0.2300	-1.0960	0.1566	2.1190	-1.3665	2.5232	2.1567	-1.1489	0.1149	-0.3789	2.2474	1.2455	-0.2349	-0.0630	-0.5867	-0.4040	-0.3605	-0.0248	0.0683	0.1936	-0.0907	-0.2174	-0.2418	-0.2419	0.0598	-0.7198
FBN1	-0.0810	1.4298	1.6159	1.3484	0.6905	0.3571	0.5418	0.9728	1.1912	0.6031	1.2678	1.2051	-0.8176	-0.9347	-0.9076	0.7728	1.4247	1.6533	-0.8067	-0.5705	-0.3449	-0.5267	-0.9720	-1.0620	-1.1257	-0.9758	-1.0571	-0.8935	-0.1869	-1.0960	-1.1015	-0.9730	-1.0006	0.3596
ELN	-0.2786	0.3127	0.9680	0.8114	0.4290	0.0144	0.2213	0.4590	1.0352	0.9187	1.2366	3.3364	-0.8245	-0.8104	-0.7482	1.0881	1.2366	1.3681	-0.6829	-0.4535	-0.5025	-0.5303	-0.8701	-0.9396	-1.0113	-0.8519	-0.9398	-0.7849	-0.1620	-0.9650	-0.9834	-0.8146	-0.8503	0.5686
CHD7	1.9751	-1.6419	-1.8187	-1.7699	0.5214	0.2311	-0.4166	-1.2965	-1.1132	0.6035	-1.3028	-1.0272	1.0119	0.8208	0.8941	0.5844	-1.6065	-1.9899	0.7319	0.3390	0.0493	0.1757	0.2680	0.5225	0.4394	0.6557	0.4708	0.5576	0.2617	0.4374	0.3804	0.7160	0.5021	0.8334
KMT2D	2.3715	-1.2273	-0.9972	-1.4578	1.2506	-0.6615	0.5660	-0.9810	-1.0439	1.0856	-0.7410	0.2727	0.9287	-0.2574	0.1325	1.5668	-0.8250	-1.0284	1.0962	0.9032	-0.3270	1.4132	-0.5863	0.4261	-0.8463	0.4485	-0.8239	-1.3832	0.0805	-0.5398	-0.5850	1.0097	-0.4357	1.1955
CHD4	-0.2318	-0.9348	-1.3911	-0.9662	-0.4303	-0.2748	-0.0717	-0.6906	-0.8221	-0.8008	-1.0549	-0.8422	-1.2333	-0.3072	-0.2595	-0.8847	-1.4301	-1.6087	1.3569	-0.0794	0.6993	1.1461	0.7156	1.8242	0.5449	1.6589	0.6697	0.0368	0.7647	0.9476	1.3124	1.8012	0.8847	-0.0487
