	CHD	CardiovascularDisease	PCGC_DeNovoVariants
ATR_003_set1__478	0.4804	-0.4617	0.4614
ATR_003_set1__505	0.1077	0.5096	0.0990
ATR_003_set1__513	0.3067	0.7317	0.2630
ATR_003_set1__67	0.2089	0.5317	0.0540
ATR_003_set1__69	-0.1367	-0.0166	-0.0859
ATR_003_set1__73	0.5931	-0.3980	0.4903
ATR_003_set1__817	0.1231	0.4143	0.0744
ATR_003_set1__828	-0.1483	0.3724	-0.2541
ATR_003_set1__888	0.1230	0.5173	0.0882
ATR_003_set2__113	0.2470	0.4323	0.2322
ATR_003_set2__114	-0.2634	-0.6364	-0.1376
ATR_003_set2__169	-0.4252	-0.1283	-0.3887
ATR_003_set2__176	0.1825	-0.6665	0.1546
ATR_003_set2__19	-0.0003	-0.7152	-0.0697
ATR_003_set2__304	-0.1069	0.3805	-0.1009
ATR_003_set2__510	-0.3471	-0.1302	-0.3492
ATR_003_set4__1	-0.2066	-0.7640	-0.2263
ATR_003_set4__80	0.1166	-0.3107	0.1984
ATR_003_set5__205	0.0775	0.1966	0.2024
ATR_003_set5__314	-0.1938	-0.8110	-0.1679
ATR_003_set5__33	-0.1191	-0.4873	0.1517
ATR_003_set5__349	-0.1718	-0.1608	-0.1017
ATR_003_set5__360	-0.5110	0.0751	-0.2611
ATR_003_set5__38	-0.3042	0.2054	-0.4396
ATR_003_set7__177	-0.1221	-0.1893	-0.2924
ATR_003_set7__185	-0.2641	-0.3761	-0.1608
ATR_003_set7__207	0.2636	0.6709	0.2692
ATR_003_set8__102	-0.1930	-0.7036	-0.1252
ATR_003_set8__138	0.3521	-0.3837	0.3900
ATR_003_set8__201	-0.0311	0.3604	-0.0513
ATR_003_set8__252	0.1268	-0.6064	0.1161
ATR_003_set8__326	-0.1349	-0.6299	-0.0573
ATR_003_set8__543	-0.3642	-0.8279	-0.3432
ATR_003_set8__555	-0.1180	-0.6595	-0.1305
ATR_003_set8__556	-0.1808	-0.5654	-0.0757
ATR_003_set8__590	-0.1421	-0.6781	-0.1655
ATR_003_set8__601	0.0145	0.3861	-0.0168
ATR_003_set8__644	0.0041	-0.5228	-0.0820
ATR_003_set8__680	0.2852	-0.6645	0.2491
ATR_003_set8__693	0.2482	0.0219	0.5802
ATR_003_set8__8	0.0849	-0.5923	-0.1581
ATR_003_set9__101	0.0619	-0.6394	0.0974
ATR_003_set9__102	0.1439	0.3417	0.1427
ATR_003_set9__178	0.0986	-0.5860	-0.0285
ATR_003_set9__199	0.2457	-0.4913	0.0659
ATR_003_set9__215	-0.1883	-0.6501	-0.2903
ATR_003_set9__244	0.4659	-0.4146	0.5006
ATR_003_set9__370	0.2678	0.2666	0.1874
ATR_003_set9__382	0.3512	-0.3737	0.2798
ATR_003_set9__410	0.0852	-0.6265	-0.0130
ATR_003_set9__439	-0.0060	0.2626	0.0304
ATR_003_set9__502	0.1122	0.6709	0.0427
ATR_003_set9__572	0.0977	0.4684	0.0930
ATR_003_set9__595	-0.0310	-0.7380	-0.0273
ATR_003_set9__655	0.0226	-0.5266	0.5082
ATR_003_set9__70	0.0735	-0.5691	-0.0516
ATR_003_set9__719	-0.0777	0.1303	0.0180
ATR_004_set11__102	0.0220	0.2997	0.0655
ATR_004_set11__128	0.1501	0.5854	0.0825
ATR_004_set11__133	-0.2301	-0.0309	-0.2299
ATR_004_set11__28	0.2100	0.6239	0.1638
ATR_004_set12__108	0.0288	-0.6124	0.0425
ATR_004_set12__164	-0.3934	-0.3188	-0.4186
ATR_004_set12__95	0.0576	0.4387	0.0698
ATR_004_set13__106	0.2302	-0.3622	0.3425
ATR_004_set13__202	0.0437	-0.5729	-0.0009
ATR_004_set13__265	-0.2585	-0.6513	-0.1258
ATR_004_set13__281	0.3697	-0.3192	0.1649
ATR_004_set13__310	0.5385	-0.4549	0.4623
ATR_004_set13__337	0.3183	-0.4278	0.2805
ATR_004_set13__357	0.0427	-0.4807	0.0395
ATR_004_set13__387	-0.0721	-0.6240	-0.1823
ATR_004_set13__436	0.1557	-0.4029	0.3687
ATR_004_set13__444	-0.1939	-0.6397	-0.0619
ATR_004_set13__50	0.1805	-0.3875	0.3872
ATR_004_set14__120	0.2312	-0.5313	0.2665
ATR_004_set14__230	0.3284	-0.3065	0.2696
ATR_004_set14__313	-0.0545	-0.6279	-0.0534
ATR_004_set14__319	0.2430	-0.3601	0.2519
ATR_004_set14__339	0.1618	-0.6002	0.3656
ATR_004_set14__409	0.0040	-0.5270	0.1307
ATR_004_set14__47	0.1448	-0.3317	0.2758
ATR_004_set14__506	0.0820	-0.4924	0.0215
ATR_004_set14__519	-0.3360	-0.6540	-0.4419
ATR_004_set14__585	0.1564	-0.4851	0.1606
ATR_004_set14__67	0.3825	-0.5574	0.1454
ATR_004_set14__76	0.6618	-0.4177	0.8107
ATR_004_set15__136	-0.3802	-0.7070	-0.2939
ATR_004_set16__130	0.0421	-0.5589	0.1096
ATR_004_set16__133	0.4318	-0.3341	0.4110
ATR_004_set16__157	-0.0078	-0.4463	0.3201
ATR_004_set16__194	0.6549	-0.5502	0.2466
ATR_004_set16__229	-0.1261	-0.5905	-0.0422
ATR_004_set16__302	0.3184	-0.4064	0.3411
ATR_004_set16__337	0.1111	-0.6059	0.0829
ATR_004_set16__381	0.2906	-0.4028	0.3633
ATR_004_set16__399	-0.0058	-0.5753	0.0568
ATR_004_set16__44	-0.1003	-0.5400	-0.2338
ATR_004_set16__450	0.0877	-0.5596	0.1471
ATR_004_set16__506	-0.0024	-0.6278	-0.0543
ATR_004_set16__520	0.2690	-0.3961	0.3217
ATR_004_set16__55	-0.1641	-0.5598	0.0123
ATR_004_set16__706	-0.0493	-0.4442	0.6193
ATR_004_set16__787	0.4361	-0.2006	0.3714
ATR_004_set16__792	-0.4960	-0.6591	-0.4054
ATR_004_set16__798	0.2659	-0.4453	0.3167
ATR_004_set16__804	0.2973	-0.4447	0.3266
ATR_004_set16__830	0.4315	-0.4462	0.2623
ATR_004_set16__865	0.0206	-0.4993	0.0500
ATR_004_set16__873	0.1788	-0.5948	0.1348
ATR_004_set16__899	-0.0213	-0.7767	-0.2094
ATR_004_set16__909	-0.0808	-0.7114	-0.1861
ATR_004_set16__935	0.0826	-0.6214	0.0092
ATR_004_set16__962	-0.0509	-0.7562	0.0441
ATR_004_set18__184	0.2498	-0.5843	0.0722
ATR_004_set18__202	0.2031	0.5270	0.1164
ATR_004_set18__21	0.0508	-0.3420	-0.0018
ATR_004_set18__94	0.0715	0.3623	0.0647
ATR_004_set18__98	-0.0635	-0.0568	-0.0086
ATR_004_set1__113	0.0838	-0.4866	-0.0527
ATR_004_set1__127	0.0221	0.1650	-0.0215
ATR_004_set1__18	-0.2689	-0.7155	-0.2717
ATR_004_set1__184	0.3961	-0.4645	0.2966
ATR_004_set1__256	0.6409	-0.3057	0.8370
ATR_004_set1__342	0.2788	-0.5222	0.5421
ATR_004_set1__385	0.2979	0.7655	0.1751
ATR_004_set1__409	-0.4443	-0.6831	-0.3866
ATR_004_set1__423	-0.2123	0.2093	-0.3926
ATR_004_set1__515	0.3115	-0.5062	0.2848
ATR_004_set1__531	0.1955	-0.5260	0.0545
ATR_004_set1__568	0.1966	-0.4935	0.1557
ATR_004_set1__72	0.1285	-0.5404	0.2109
ATR_004_set1__728	0.0172	0.2640	-0.0658
ATR_004_set1__741	-0.0332	-0.6767	0.0615
ATR_004_set1__754	0.0057	-0.3445	0.0373
ATR_004_set1__874	-0.1770	-0.4765	-0.2265
ATR_004_set1__881	-0.1455	-0.7409	-0.2686
ATR_004_set1__893	-0.1189	-0.7520	-0.1413
ATR_004_set1__923	0.3676	0.8019	0.1194
ATR_004_set1__949	0.0367	-0.5315	-0.0627
ATR_004_set20__60	0.0163	-0.6673	-0.2605
ATR_004_set20__64	0.1149	-0.5422	0.1739
ATR_004_set20__78	0.1422	0.7686	0.1532
ATR_004_set2__114	0.3513	-0.4434	0.2002
ATR_004_set2__180	-0.4660	-0.4149	-0.3954
ATR_004_set2__190	0.2567	0.7006	0.1333
ATR_004_set2__200	-0.3613	-0.6052	-0.1105
ATR_004_set2__41	0.1574	-0.5941	-0.0315
ATR_004_set2__90	0.2456	-0.2055	0.4621
ATR_004_set5__176	-0.0583	-0.5223	-0.0127
ATR_004_set5__217	0.1355	-0.4844	0.4924
ATR_004_set5__233	-0.2200	-0.7446	0.0436
ATR_004_set5__237	0.2440	-0.5558	0.1475
ATR_004_set5__268	-0.1490	-0.7544	-0.2523
ATR_004_set5__276	0.2577	-0.5072	0.2845
ATR_004_set5__364	0.1620	-0.5235	-0.0623
ATR_004_set5__424	0.0212	-0.3979	-0.2004
ATR_004_set5__47	-0.1198	0.3496	-0.2818
ATR_004_set5__478	-0.2762	-0.7353	-0.2836
ATR_004_set5__49	0.0901	-0.6155	0.0719
ATR_004_set5__572	-0.0598	-0.7076	-0.1513
ATR_004_set5__578	0.0878	-0.6869	0.1316
ATR_004_set5__614	-0.2106	-0.8570	-0.4147
ATR_004_set5__615	0.1181	-0.3942	0.3506
ATR_004_set5__622	0.3214	-0.4610	0.5006
ATR_004_set5__695	0.2135	-0.4834	-0.0133
ATR_004_set5__698	0.0534	-0.6464	0.0168
ATR_004_set5__715	-0.1061	-0.6192	0.1073
ATR_004_set5__779	0.2033	-0.4937	0.0109
ATR_004_set5__83	0.0993	-0.4876	0.4855
ATR_004_set5__861	0.0733	-0.6341	0.2571
ATR_004_set5__903	-0.1086	-0.6176	0.2369
ATR_004_set5__92	0.2739	-0.4582	0.2791
ATR_004_set6__16	-0.0353	-0.5546	0.0677
ATR_004_set6__214	-0.1402	-0.0504	-0.1813
ATR_004_set6__56	0.3759	0.3197	0.0610
ATR_004_set6__78	0.0603	0.2146	0.0028
ATR_004_set6__96	0.3340	-0.5433	0.1275
ATR_004_set7__102	-0.0446	0.1973	-0.0348
ATR_004_set7__35	-0.0449	-0.5797	-0.0299
ATR_004_set8__131	-0.0217	-0.5770	-0.0548
ATR_004_set8__215	-0.0320	-0.5989	-0.0308
ATR_004_set8__252	0.0672	-0.5118	0.2189
ATR_004_set8__279	-0.1600	-0.6131	-0.0804
ATR_004_set8__284	-0.2382	-0.6723	-0.1448
ATR_004_set8__332	-0.1318	-0.6162	-0.2258
ATR_004_set8__374	-0.2289	-0.7093	-0.3071
ATR_004_set8__378	-0.1768	-0.5838	-0.1248
ATR_004_set8__389	-0.2631	-0.6363	-0.2599
ATR_004_set8__390	0.0072	-0.5713	0.1114
ATR_004_set8__492	-0.4008	-0.7463	-0.3534
ATR_004_set8__497	-0.1438	-0.6402	-0.1843
ATR_004_set8__510	-0.5755	-0.8703	-0.5753
ATR_004_set8__534	-0.1532	-0.6390	-0.1558
ATR_004_set8__652	0.3066	-0.3989	0.4069
ATR_004_set8__730	-0.2785	-0.7052	-0.2822
ATR_004_set8__743	-0.1112	-0.4842	-0.1233
ATR_004_set8__782	-0.2918	-0.7260	-0.1940
ATR_004_set8__825	-0.0463	-0.5587	0.1009
ATR_004_set8__862	-0.3019	0.0516	-0.3049
ATR_004_set9__103	0.1008	-0.4983	0.2039
ATR_004_set9__173	-0.3288	0.2315	-0.2390
ATR_004_set9__771	-0.1260	-0.0964	-0.1410
ATR_004_set9__774	-0.4175	-0.1756	-0.4815
ATR_005_set10__107	0.2995	-0.6505	0.5333
ATR_005_set10__40	0.2453	-0.4918	0.0860
ATR_005_set10__84	0.1441	0.3781	0.0830
ATR_005_set13__112	-0.2800	-0.5554	-0.1065
ATR_005_set13__192	0.0908	-0.3732	0.1689
ATR_005_set13__208	0.0545	-0.5305	-0.0623
ATR_005_set13__213	-0.1047	-0.4907	-0.0529
ATR_005_set13__229	0.2352	-0.3745	0.1788
ATR_005_set13__239	0.1940	-0.5824	0.2418
ATR_005_set13__275	0.1187	-0.5483	0.1200
ATR_005_set13__33	0.3273	-0.4511	0.2532
ATR_005_set13__385	0.1652	-0.5287	0.3610
ATR_005_set13__460	0.4301	-0.3115	0.4368
ATR_005_set14__116	0.4498	-0.3960	0.4498
ATR_005_set14__220	0.2220	-0.4912	0.1814
ATR_005_set14__421	0.3439	-0.3284	0.2536
ATR_005_set14__458	0.3853	-0.3046	0.3832
ATR_005_set14__475	-0.4555	-0.7746	-0.4727
ATR_005_set14__550	0.3237	-0.6323	0.1412
ATR_005_set14__610	0.3744	-0.2295	0.4286
