	CHD	CardiovascularDisease	PCGC_DeNovoVariants
VEN_060_set18__895	0.3830	-0.2513	0.4802
VEN_060_set1__131	-0.1685	0.5752	-0.1415
VEN_060_set1__290	0.1101	-0.6069	0.1618
VEN_060_set1__63	0.0869	-0.4904	-0.6375
VEN_060_set1__7	0.3074	-0.2195	0.3493
VEN_060_set20__111	-0.2385	0.4073	-0.1746
VEN_060_set20__122	-0.2611	0.2405	-0.2609
VEN_060_set20__337	-0.3343	0.1030	-0.2739
VEN_060_set20__376	-0.1055	0.2939	-0.2189
VEN_060_set20__386	-0.2396	0.4827	-0.1727
VEN_060_set20__42	-0.3263	0.1097	-0.2876
VEN_060_set20__460	-0.3100	0.1764	-0.3558
VEN_060_set20__472	-0.2624	0.3140	-0.2270
VEN_060_set20__654	-0.2369	0.4052	-0.1820
VEN_060_set20__672	-0.3044	0.1376	-0.2256
VEN_060_set20__678	-0.1715	0.0365	0.0472
VEN_060_set20__750	0.1818	-0.6466	0.1682
VEN_060_set20__762	-0.2364	0.3844	-0.1791
VEN_060_set20__778	0.0442	-0.4063	-0.0610
VEN_060_set22__123	-0.1677	0.4946	-0.1641
VEN_060_set22__132	-0.1060	0.4030	-0.0995
VEN_060_set22__331	-0.1398	0.5093	-0.1031
VEN_060_set22__383	0.2628	-0.3794	0.2040
VEN_060_set22__47	-0.3877	-0.0543	-0.5205
VEN_060_set22__495	0.1064	-0.4704	0.0199
VEN_060_set22__508	0.0427	0.6612	-0.0382
VEN_060_set22__510	-0.1867	0.5407	-0.1037
VEN_060_set22__561	0.0129	0.6991	0.0645
VEN_060_set22__602	-0.2822	0.5205	-0.2318
VEN_060_set22__675	-0.4389	0.3944	-0.4330
VEN_060_set22__742	0.1488	-0.4107	0.1306
VEN_060_set22__78	-0.1212	0.4862	-0.1309
VEN_060_set22__810	-0.3911	0.1385	-0.4062
VEN_060_set22__830	-0.2134	0.5181	-0.1521
VEN_060_set22__864	0.4202	-0.5511	0.2410
VEN_060_set22__874	0.1472	0.6512	0.1107
VEN_060_set22__891	-0.3878	0.1294	-0.3243
VEN_060_set23__155	-0.1290	0.5655	-0.0425
VEN_060_set23__240	-0.1732	0.5145	-0.0937
VEN_060_set23__27	-0.4561	0.3466	-0.3941
VEN_060_set23__277	-0.2240	0.3846	-0.1635
VEN_060_set23__324	-0.0165	-0.0069	0.1417
VEN_060_set23__331	-0.3166	0.2921	-0.2282
VEN_060_set23__339	0.1070	0.7075	0.1223
VEN_060_set23__347	0.1927	0.6084	0.1099
VEN_060_set23__370	0.1295	-0.4846	0.1228
VEN_060_set23__388	-0.1899	0.5062	-0.1467
VEN_060_set23__443	0.1025	0.6025	0.1014
VEN_060_set23__494	-0.1575	0.4968	-0.1042
VEN_060_set23__677	-0.0903	0.4028	-0.0744
VEN_060_set23__688	0.0992	-0.4654	0.1721
VEN_060_set23__860	-0.4229	-0.1994	-0.3548
VEN_060_set23__907	-0.3394	-0.7148	-0.2048
VEN_060_set24__104	0.0062	0.5736	0.0116
VEN_060_set24__48	0.0541	0.4442	0.0671
VEN_060_set24__96	0.1758	-0.3950	0.2755
VEN_060_set25__233	0.0819	0.6743	0.0645
VEN_060_set25__28	-0.1753	0.4167	-0.1199
VEN_060_set25__301	-0.0875	0.5001	-0.0540
VEN_060_set25__307	-0.3350	-0.6946	-0.1164
VEN_060_set25__313	0.0043	0.2705	-0.0131
VEN_060_set25__327	-0.0378	0.3357	-0.0809
VEN_060_set25__375	-0.3243	0.0981	-0.3583
VEN_060_set25__387	0.1566	0.5647	0.1523
VEN_060_set25__406	0.2359	0.5411	0.1206
VEN_060_set25__454	-0.0666	0.4739	-0.0689
VEN_060_set25__489	0.0169	0.2791	0.0533
VEN_060_set25__497	0.0072	0.6199	0.0525
VEN_060_set25__527	0.2196	0.5753	0.1997
VEN_060_set25__547	-0.0313	0.5104	0.0000
VEN_060_set25__591	-0.0733	-0.5530	-0.6896
VEN_060_set25__665	0.3798	-0.3403	0.3830
VEN_060_set25__668	0.0464	0.6380	0.0710
VEN_060_set25__742	-0.0192	0.4654	-0.0243
VEN_060_set25__765	0.0689	0.3942	0.0503
VEN_060_set25__805	-0.5720	-0.7799	-0.5980
VEN_060_set25__819	-0.0105	0.4755	0.0014
VEN_060_set25__840	0.0110	0.2671	-0.1003
VEN_060_set26__231	-0.0661	0.5440	-0.0864
VEN_060_set26__309	-0.1980	0.3316	-0.1644
VEN_060_set26__357	-0.1843	0.1869	-0.1590
VEN_060_set26__383	-0.0375	0.6191	-0.0667
VEN_060_set26__406	-0.0396	0.5808	0.0493
VEN_060_set26__483	0.4509	-0.3504	0.4395
VEN_060_set26__506	0.0434	0.6501	0.0606
VEN_060_set26__572	0.0084	0.5190	0.0156
VEN_060_set26__582	0.0353	0.5791	0.0878
VEN_060_set26__608	-0.1855	0.3896	-0.1395
VEN_060_set26__64	0.1795	-0.4491	0.1822
VEN_060_set26__691	-0.0211	0.4765	0.0350
VEN_060_set26__714	0.2512	0.4058	0.1289
VEN_060_set26__764	0.0702	0.5321	0.0159
VEN_060_set26__856	-0.0935	0.4911	-0.0642
VEN_060_set26__93	0.0307	0.5208	0.0515
VEN_060_set27__117	0.0426	0.5557	0.0562
VEN_060_set27__121	-0.0366	0.5524	-0.0046
VEN_060_set27__125	-0.2442	0.4297	-0.1608
VEN_060_set27__152	0.0150	0.5351	-0.0065
VEN_060_set27__170	0.0356	0.4430	0.0670
VEN_060_set27__214	-0.0368	0.4802	-0.0176
VEN_060_set27__217	-0.1534	0.4384	-0.1316
VEN_060_set27__271	-0.2666	0.2404	-0.2470
VEN_060_set27__342	0.2912	-0.3733	0.6820
VEN_060_set27__371	-0.2289	0.4000	-0.2081
VEN_060_set27__373	-0.2387	0.2550	-0.1714
VEN_060_set27__393	-0.1885	0.2811	-0.1593
VEN_060_set27__399	0.3888	-0.3724	0.4217
VEN_060_set27__486	-0.4152	0.1594	-0.4020
VEN_060_set27__517	-0.0293	-0.7686	-0.3241
VEN_060_set27__582	-0.2070	0.4811	-0.1272
VEN_060_set27__628	0.1420	-0.5318	0.2039
VEN_060_set27__768	-0.4528	0.0822	-0.3087
VEN_060_set27__825	-0.0265	0.2731	-0.0518
VEN_060_set27__903	-0.1168	-0.6703	-0.0932
VEN_060_set28__129	-0.2767	0.4391	-0.2337
VEN_060_set28__199	-0.1255	0.3857	-0.0769
VEN_060_set28__200	-0.0076	0.3654	0.0068
VEN_060_set28__233	-0.2837	0.3356	-0.1600
VEN_060_set28__357	-0.2156	-0.6039	0.0952
VEN_060_set28__456	0.0783	0.4721	0.0044
VEN_060_set28__496	0.0023	0.5478	0.0294
VEN_060_set28__544	0.1434	-0.0216	0.1757
VEN_060_set28__550	0.1254	0.6368	0.1213
VEN_060_set28__553	0.0236	0.6218	0.0084
VEN_060_set28__66	-0.1185	0.4022	-0.0781
VEN_060_set28__775	-0.1252	-0.5793	-0.1682
VEN_060_set28__814	-0.1858	0.2705	-0.1991
VEN_060_set28__823	-0.1870	-0.6633	0.0137
VEN_060_set28__824	-0.1760	0.4440	-0.1632
VEN_060_set29__134	-0.0092	0.5117	0.0114
VEN_060_set29__188	0.3096	-0.4734	0.3673
VEN_060_set29__24	0.2798	-0.1354	0.4721
VEN_060_set29__276	-0.1315	0.4563	-0.0890
VEN_060_set29__293	0.2710	-0.2512	0.1456
VEN_060_set29__321	0.0821	-0.3701	0.1425
VEN_060_set29__387	0.3344	-0.2488	0.2693
VEN_060_set29__396	-0.1085	0.6473	-0.0745
VEN_060_set29__398	0.0181	-0.5257	0.0450
VEN_060_set29__421	-0.1489	-0.6094	0.0250
VEN_060_set29__46	-0.0855	0.4642	-0.0257
VEN_060_set29__480	-0.2534	-0.8239	-0.2519
VEN_060_set29__526	-0.1138	0.4726	-0.0414
VEN_060_set29__570	-0.0300	0.5588	-0.0277
VEN_060_set29__60	-0.1941	0.5267	-0.1266
VEN_060_set29__624	-0.1408	0.5389	-0.1031
VEN_060_set29__781	-0.2133	0.3380	-0.1964
VEN_060_set2__218	0.3326	-0.4893	0.2718
VEN_060_set2__252	-0.1718	-0.8418	-0.0982
VEN_060_set2__302	0.3676	-0.0924	0.4495
VEN_060_set2__329	0.1997	-0.4413	0.1689
VEN_060_set2__362	0.2884	-0.3564	0.0026
VEN_060_set2__462	0.1684	0.3933	0.0559
VEN_060_set2__467	0.1305	0.3729	0.0460
VEN_060_set2__479	-0.0686	0.5848	-0.0453
VEN_060_set2__482	0.3906	-0.4545	0.4968
VEN_060_set2__516	-0.0304	-0.6335	0.0245
VEN_060_set2__658	0.3894	-0.7127	0.1212
VEN_060_set2__682	-0.1482	0.3233	-0.1237
VEN_060_set2__685	0.0168	-0.5417	0.0390
VEN_060_set2__686	-0.1246	0.3612	-0.0930
VEN_060_set2__75	0.3868	-0.5223	0.2668
VEN_060_set2__79	0.0035	-0.5537	0.0291
VEN_060_set2__87	-0.3020	-0.7538	-0.2718
VEN_060_set2__90	0.0540	0.4788	0.0140
VEN_060_set30__143	-0.1600	-0.0627	-0.2966
VEN_060_set30__147	-0.2263	0.2926	-0.1150
VEN_060_set30__252	0.1111	0.6757	0.1045
VEN_060_set30__318	0.3473	-0.5488	0.2498
VEN_060_set30__335	-0.0451	-0.4949	-0.2105
VEN_060_set30__357	0.3774	-0.2229	0.4559
VEN_060_set30__389	0.0129	0.5386	-0.0105
VEN_060_set30__412	-0.3115	0.2092	-0.3251
VEN_060_set30__436	-0.0349	0.5204	-0.0489
VEN_060_set30__479	-0.2149	0.3783	-0.2346
VEN_060_set30__50	0.0282	0.3830	-0.0522
VEN_060_set30__53	-0.9149	-0.0392	-0.6971
VEN_060_set30__532	-0.1263	-0.6987	0.0909
VEN_060_set30__607	-0.2944	-0.7261	-0.1503
VEN_060_set30__678	-0.2538	-1.0190	-0.6354
VEN_060_set30__686	-0.2127	0.4805	-0.2051
VEN_060_set30__699	-0.2479	0.0724	-0.2840
VEN_060_set30__703	0.1490	-0.7674	0.1929
VEN_060_set30__707	-0.2328	-0.5829	-0.2610
VEN_060_set30__84	-0.0583	0.5272	-0.2064
VEN_060_set31__134	-0.5098	-0.3918	-0.4653
VEN_060_set31__153	-0.2633	-0.6696	-0.3170
VEN_060_set31__249	-0.1339	-0.5349	-0.0032
VEN_060_set31__258	-0.4822	-0.1377	-0.4847
VEN_060_set32__12	-0.2884	0.3165	-0.2072
VEN_060_set32__22	-0.6006	-0.4307	-0.7469
VEN_060_set32__272	-0.0082	-0.5271	-0.0078
VEN_060_set32__404	0.2197	-0.4423	0.0035
VEN_060_set32__429	0.1064	0.4358	0.0801
VEN_060_set32__437	0.0567	0.6496	0.0854
VEN_060_set32__448	0.0183	0.6597	0.0720
VEN_060_set32__506	0.0702	-0.2368	0.0867
VEN_060_set32__527	-0.1840	-0.6508	-0.0937
VEN_060_set32__533	0.0166	0.6497	0.0580
VEN_060_set32__552	0.0358	0.7092	0.0220
VEN_060_set32__598	0.1082	0.5454	0.1281
VEN_060_set32__611	-0.2897	-0.5482	-0.3163
VEN_060_set32__691	-0.0891	0.4654	-0.0135
VEN_060_set32__739	-0.0048	-0.6833	-0.0251
VEN_060_set3__126	-0.1247	-0.6378	0.0729
VEN_060_set3__147	-0.1353	0.4912	-0.0688
VEN_060_set3__159	0.2161	-0.3019	0.2378
VEN_060_set3__183	-0.1244	-0.5854	0.0408
VEN_060_set3__38	0.2013	0.0789	0.3071
VEN_060_set3__390	0.0600	0.5141	0.0535
VEN_060_set4__122	0.0443	0.4689	0.0828
VEN_060_set4__224	-0.1670	0.5392	-0.1989
VEN_060_set4__232	0.0354	0.6588	0.0249
VEN_060_set4__296	0.2888	-0.3916	0.5008
VEN_060_set4__339	-0.6303	-0.7946	0.2381
VEN_060_set4__343	-0.1456	0.4808	-0.0802
VEN_060_set4__372	-0.0306	-0.4418	0.0452
VEN_060_set4__40	0.3296	-0.3001	0.4618
VEN_060_set4__425	0.3234	-0.3884	0.2966
VEN_060_set4__498	-0.3475	0.2944	-0.2696
VEN_060_set4__507	0.0959	-0.6009	0.0408
VEN_060_set4__570	-0.0850	0.4728	-0.0290
VEN_060_set4__618	0.1766	0.6005	0.1176
VEN_060_set4__696	0.2021	0.6633	0.1539
VEN_060_set4__707	0.0671	0.6292	0.0874
VEN_060_set4__786	0.0883	0.7372	0.0345
VEN_060_set4__862	-0.1017	-0.1126	-0.1206
VEN_060_set4__864	0.2530	-0.4310	0.2746
VEN_060_set4__869	-0.1154	0.4996	-0.1043
VEN_060_set4__894	-0.1654	0.3492	-0.1312
VEN_060_set4__918	-0.1410	0.5828	-0.0847
VEN_060_set4__938	-0.1380	0.2970	-0.0552
VEN_060_set4__940	-0.0237	-0.6832	-0.0272
VEN_060_set4__955	-0.2052	0.5266	-0.1492
VEN_060_set4__976	0.2028	0.3002	0.0913
VEN_060_set6__190	0.0723	0.3695	0.0581
VEN_060_set6__27	0.0990	0.4163	0.1470
VEN_060_set6__284	0.1553	0.6091	0.0855
VEN_060_set6__291	-0.1030	-0.7193	-0.0479
VEN_060_set6__403	-0.4322	0.1709	-0.1896
VEN_060_set6__44	-0.1714	0.2794	-0.2188
VEN_060_set6__441	0.1966	-0.4683	0.1148
VEN_060_set6__515	0.0920	-0.5349	0.0780
VEN_060_set6__575	0.1327	-0.4493	-0.0634
VEN_060_set6__642	-0.0568	-0.6508	-0.1735
VEN_060_set6__66	-0.1374	0.2507	-0.0779
VEN_060_set7__107	-0.0877	0.4622	-0.0579
VEN_060_set7__128	-0.0309	0.5435	-0.0303
VEN_060_set7__171	0.0312	0.1050	-0.0120
VEN_060_set7__213	0.2474	-0.4484	0.2745
VEN_060_set7__389	-0.1260	-0.7295	0.0939
VEN_060_set7__482	-0.1816	-0.0149	-0.1375
VEN_060_set7__510	-0.0167	-0.6336	0.1083
VEN_060_set7__528	-0.1080	0.2600	-0.0876
VEN_060_set7__567	-0.5538	-0.0007	-0.5790
VEN_060_set7__707	0.0240	0.5675	0.0713
VEN_060_set7__716	0.2827	0.5697	0.2329
VEN_060_set7__730	-0.0539	-0.6800	-0.1278
VEN_060_set7__863	-0.2225	0.2425	-0.2070
VEN_060_set7__907	-0.0386	-0.4979	0.0933
VEN_060_set7__927	-0.3267	-0.0006	-0.3669
VEN_060_set8__153	-0.1392	0.0993	-0.1310
VEN_060_set8__22	-0.1197	0.1336	-0.1269
VEN_060_set8__296	0.1850	-0.2293	0.1284
VEN_060_set8__305	0.1654	-0.0932	0.1509
VEN_060_set8__335	0.0761	-0.2813	0.3343
VEN_060_set8__349	-0.0224	0.4990	0.0076
VEN_060_set8__358	-0.0565	0.4915	-0.0233
VEN_060_set8__38	-0.0796	0.2704	-0.0910
VEN_060_set8__421	-0.2199	0.3329	-0.2144
VEN_060_set8__493	-0.0243	0.1548	-0.0865
VEN_060_set8__518	-0.0013	0.4904	0.0019
VEN_060_set8__555	0.0714	0.4288	0.0175
VEN_060_set8__59	-0.0863	0.4664	-0.0312
VEN_060_set8__626	-0.2330	0.0644	-0.2361
VEN_060_set8__682	-0.4601	-0.0163	-0.4795
VEN_060_set8__711	-0.0185	-0.5130	-0.0065
VEN_060_set8__719	0.1312	-0.3923	0.0409
VEN_060_set8__735	-0.2969	-0.0391	-0.5193
VEN_060_set8__740	-0.0288	0.3033	-0.1534
VEN_060_set8__817	-0.1316	0.2320	-0.0663
VEN_060_set8__888	0.1061	0.4871	0.1299
VEN_060_set8__915	-0.2672	0.0205	-0.3327
VEN_060_set9__115	-0.0255	0.2268	-0.0599
VEN_060_set9__125	-0.1772	0.1154	-0.1716
VEN_060_set9__201	0.0926	0.5672	0.0931
VEN_060_set9__233	0.1376	-0.5572	-0.0004
VEN_060_set9__251	-0.2462	0.0598	-0.1162
VEN_060_set9__343	0.0389	0.5236	-0.0224
VEN_060_set9__385	-0.0740	0.2667	-0.0558
VEN_060_set9__392	0.3868	-0.4284	0.4818
VEN_060_set9__418	-0.1483	0.3313	-0.1269
VEN_060_set9__481	-0.5525	0.1081	-0.6688
VEN_060_set9__518	0.0064	-0.5562	0.0285
VEN_060_set9__534	-0.1075	0.0924	-0.1439
VEN_060_set9__729	0.1559	-0.4461	0.1703
VEN_060_set9__739	-0.0749	0.0956	-0.1027
VEN_060_set9__80	0.0781	0.4631	0.0802
VEN_060_set9__809	-0.0335	0.4339	-0.0269
VEN_060_set9__818	0.0515	0.4241	0.0548
VEN_060_set9__93	0.1228	0.4601	0.0143
VEN_061_set18__125	0.0298	0.5270	0.0106
VEN_061_set18__143	-0.2050	-0.5340	-0.0393
VEN_061_set18__163	0.3366	0.6452	0.2364
VEN_061_set18__215	-0.1297	0.4560	-0.1541
VEN_061_set18__299	-0.2479	0.3851	-0.3107
VEN_061_set18__357	-0.2476	-0.6846	-0.1608
VEN_061_set18__383	-0.1361	0.1672	-0.0841
VEN_061_set18__393	-0.3048	0.3277	-0.1907
VEN_061_set18__425	-0.0411	-0.2313	-0.1082
VEN_061_set18__520	-0.0807	0.4819	-0.0609
VEN_061_set18__531	-0.2237	-0.7380	-0.1281
VEN_061_set18__539	-0.5396	0.3008	-0.4956
VEN_061_set18__567	-0.2096	0.3758	-0.1628
VEN_061_set18__600	0.0400	0.3590	0.0228
VEN_061_set18__653	-0.2187	0.2460	-0.2001
VEN_061_set18__711	-0.5250	0.0150	-0.4583
VEN_061_set18__727	-0.3451	0.1941	-0.2556
VEN_061_set18__802	-0.0568	0.3632	0.1053
VEN_061_set18__814	-0.3417	0.2976	-0.2850
VEN_061_set18__820	-0.1543	-0.7291	-0.1322
VEN_061_set1__215	-0.0462	-0.4348	-0.0282
VEN_061_set1__346	-0.2246	0.5852	-0.1788
VEN_061_set1__386	0.0310	0.6599	0.0911
VEN_061_set1__387	-0.0863	0.5787	-0.0389
VEN_061_set1__462	-0.0458	0.5408	0.0024
VEN_061_set1__517	0.0767	0.5746	0.0445
VEN_061_set1__552	-0.3159	0.2129	-0.3024
VEN_061_set1__554	-0.0846	-0.4753	0.0580
VEN_061_set1__568	-0.0932	-0.6525	-0.0910
VEN_061_set1__736	0.0176	0.7445	0.0793
VEN_061_set1__789	0.0927	-0.2369	0.1557
VEN_061_set1__863	-0.3657	0.4493	-0.2600
VEN_061_set20__100	0.3221	-0.1798	0.2379
VEN_061_set20__105	-0.2139	0.0739	-0.1611
VEN_061_set20__186	0.2821	-0.5357	0.4165
VEN_061_set20__330	-0.2758	0.3200	-0.1960
VEN_061_set20__34	-0.0723	0.5813	-0.0010
VEN_061_set20__399	-0.4205	0.1740	-0.3400
VEN_061_set20__553	-0.5349	0.2814	-0.3209
VEN_061_set20__569	0.0565	0.3768	0.0329
VEN_061_set20__690	-0.2100	0.3400	-0.1630
VEN_061_set22__17	-0.2528	0.6276	-0.1143
VEN_061_set22__204	0.0981	0.4126	0.0798
VEN_061_set22__311	0.1283	0.4409	0.0954
VEN_061_set22__337	-0.2150	0.4486	-0.1505
VEN_061_set22__359	0.0534	0.3628	0.0172
VEN_061_set22__370	0.2153	0.6749	0.1154
VEN_061_set22__447	0.2551	-0.4417	0.4406
VEN_061_set22__477	0.3798	-0.5394	0.3832
VEN_061_set22__483	0.3622	-0.4505	0.5487
VEN_061_set22__493	0.2288	-0.5372	0.2106
VEN_061_set22__590	-0.4112	0.2552	-0.3045
VEN_061_set22__691	0.3073	-0.5324	0.2509
VEN_061_set23__138	0.1002	-0.5054	-0.2119
VEN_061_set23__207	-0.1081	0.5273	-0.0579
VEN_061_set23__340	-0.1785	0.4918	-0.1139
VEN_061_set23__374	-0.1571	0.3516	-0.2184
VEN_061_set23__447	-0.0668	0.3979	0.0278
VEN_061_set23__449	-0.1046	0.5014	-0.0112
VEN_061_set23__463	-0.1801	0.3153	-0.1230
VEN_061_set23__484	-0.0465	0.4048	-0.0386
VEN_061_set23__498	-0.1254	-0.6110	-0.1776
VEN_061_set23__504	-0.0249	-0.5362	0.2227
VEN_061_set23__515	-0.0573	0.3441	-0.0904
VEN_061_set23__519	-0.1263	0.4518	-0.1515
VEN_061_set23__629	-0.1011	0.4600	-0.0670
VEN_061_set23__641	-0.1228	0.3450	-0.1188
VEN_061_set23__642	0.2866	0.5897	0.2105
VEN_061_set23__706	-0.0584	0.5422	0.0196
VEN_061_set23__755	0.0535	0.5906	0.0467
VEN_061_set23__785	0.2637	-0.3731	0.3260
VEN_061_set23__790	-0.3791	0.1387	-0.3158
VEN_061_set23__856	-0.2399	0.4078	-0.1933
VEN_061_set23__886	0.0158	-0.3965	-0.0277
VEN_061_set23__903	-0.2467	0.3185	-0.2307
VEN_061_set25__169	-0.1358	0.3264	-0.0880
VEN_061_set25__368	-0.0120	0.6399	-0.0297
VEN_061_set25__463	0.0730	0.6463	0.0891
VEN_061_set25__466	0.1847	-0.3547	0.2850
VEN_061_set25__530	-0.1090	0.4307	-0.1288
VEN_061_set25__534	0.2592	0.6397	0.2160
VEN_061_set25__545	0.1310	0.7195	0.0886
VEN_061_set25__554	0.0524	0.6345	0.1077
VEN_061_set25__569	-0.0322	0.5070	0.0033
VEN_061_set25__603	-0.0152	-0.6400	0.5092
VEN_061_set25__604	0.2453	-0.5460	0.1959
VEN_061_set25__610	-0.0103	0.3791	0.0341
VEN_061_set25__631	0.0098	0.5384	0.0411
VEN_061_set25__802	0.2357	0.5483	0.1810
VEN_061_set25__819	0.0357	0.4604	0.0395
VEN_061_set26__143	-0.0988	0.4056	-0.0442
VEN_061_set26__147	0.1311	0.4710	0.0574
VEN_061_set26__162	0.0382	-0.7517	-0.0273
VEN_061_set26__362	-0.2314	0.2211	-0.2685
VEN_061_set26__374	-0.1055	0.3795	-0.0847
VEN_061_set26__399	-0.0350	0.5895	-0.0284
VEN_061_set26__405	0.3101	0.5926	0.1579
VEN_061_set26__46	-0.0684	0.4099	-0.0914
VEN_061_set26__466	0.3026	0.5881	0.2310
VEN_061_set26__586	-0.0031	0.2521	-0.0392
VEN_061_set26__608	0.2747	-0.2585	0.3366
VEN_061_set26__700	-0.0540	0.3116	-0.0121
VEN_061_set27__118	0.1904	-0.2990	0.0694
VEN_061_set27__121	-0.0492	0.4676	-0.0235
VEN_061_set27__267	0.0891	0.5657	0.0220
VEN_061_set27__320	-0.1411	-0.5973	-0.0209
VEN_061_set27__453	0.0478	0.4597	-0.1357
VEN_061_set27__477	0.1009	0.5297	-0.0550
VEN_061_set27__484	0.0455	0.3274	0.0564
VEN_061_set27__499	-0.0299	0.3794	-0.0213
VEN_061_set27__513	0.0148	0.6519	0.0158
VEN_061_set27__516	0.1058	-0.2139	-0.0015
VEN_061_set27__522	0.1901	0.4637	0.0461
VEN_061_set27__634	0.0058	0.5572	-0.0026
VEN_061_set27__648	0.1163	0.6136	0.1170
VEN_061_set27__660	0.2594	0.5162	0.2068
VEN_061_set27__736	-0.1262	0.4032	-0.0966
VEN_061_set27__752	0.0979	-0.3776	0.0790
VEN_061_set27__834	0.0637	0.5715	0.0675
VEN_061_set27__903	-0.0116	0.5948	-0.0051
VEN_061_set27__927	-0.4216	0.2528	-0.3317
VEN_061_set28__10	-0.3986	0.0225	-0.3098
VEN_061_set28__144	-0.0998	0.4012	-0.0661
VEN_061_set28__175	0.0062	-0.5634	0.0201
VEN_061_set28__186	0.2818	-0.3166	0.4878
VEN_061_set28__249	0.2155	-0.3198	0.2091
VEN_061_set28__263	0.2752	-0.4294	0.2281
VEN_061_set28__345	0.2580	0.4911	0.1738
VEN_061_set28__455	0.1138	-0.5287	0.1371
VEN_061_set28__457	0.0104	0.4165	0.0225
VEN_061_set28__502	-0.2495	0.3951	-0.1999
VEN_061_set28__590	0.1107	0.5321	0.1289
VEN_061_set28__632	0.4006	-0.4879	0.4341
VEN_061_set28__675	-0.1189	-0.5939	-0.1780
VEN_061_set29__131	0.0379	0.6737	0.0574
VEN_061_set29__203	-0.1519	-0.5489	-0.0238
VEN_061_set29__206	0.0506	0.6877	0.0538
VEN_061_set29__231	0.0615	0.5042	0.0938
VEN_061_set29__269	-0.0541	0.3218	-0.0242
VEN_061_set29__327	-0.4128	-0.7506	-0.1878
VEN_061_set2__225	0.1579	0.6275	0.1275
VEN_061_set2__248	-0.1036	0.2116	-0.1609
VEN_061_set2__415	0.0849	0.4671	0.1021
VEN_061_set2__456	-0.0184	0.4980	0.0169
VEN_061_set2__520	-0.0106	0.5664	0.0178
VEN_061_set2__53	0.0648	0.2469	-0.0265
VEN_061_set2__564	-0.1235	0.0816	-0.3012
VEN_061_set2__577	0.1685	0.4776	0.0799
VEN_061_set2__617	0.0514	-0.5953	0.0650
VEN_061_set2__643	-0.1859	-0.6039	-0.1164
VEN_061_set2__681	0.2523	-0.3318	0.0707
VEN_061_set2__728	0.1230	0.4886	0.0726
VEN_061_set2__731	-0.1514	0.0781	-0.1505
VEN_061_set2__737	-0.0737	0.2457	-0.0461
VEN_061_set2__792	0.2368	-0.5263	0.3851
VEN_061_set2__813	0.2911	-0.4141	0.2612
VEN_061_set2__815	0.0417	-0.6107	0.0686
VEN_061_set2__855	-0.3374	-0.0952	-0.3373
VEN_061_set2__87	-0.0253	0.2719	-0.0882
VEN_061_set30__128	-0.0613	0.3775	-0.0784
VEN_061_set30__134	0.1935	0.3406	0.0954
VEN_061_set30__141	0.1131	-0.4194	0.2225
VEN_061_set30__198	-0.1478	0.5863	-0.1162
VEN_061_set30__222	0.0267	0.6559	0.0354
VEN_061_set30__281	-0.0449	-0.5478	-0.0048
VEN_061_set30__379	0.0453	-0.6781	0.1018
VEN_061_set30__48	0.0774	0.2305	-0.1363
VEN_061_set30__535	-0.0777	0.5298	-0.0948
VEN_061_set30__544	-0.1384	0.4960	-0.1329
VEN_061_set30__576	-0.0981	0.5107	-0.1103
VEN_061_set30__578	-0.1540	0.4718	-0.0955
VEN_061_set30__593	0.1266	-0.5038	0.1584
VEN_061_set30__666	0.4033	-0.1278	0.5184
VEN_061_set30__705	0.1717	0.6560	0.1942
VEN_061_set30__770	0.1441	0.4991	0.1252
VEN_061_set30__775	0.5836	-0.4443	0.4295
VEN_061_set30__784	0.5767	-0.3827	0.2694
VEN_061_set30__790	-0.1778	0.3422	-0.1806
VEN_061_set30__805	-0.2612	0.3413	-0.1777
VEN_061_set30__821	0.0928	0.0689	-0.0447
VEN_061_set30__827	0.0193	-0.6334	0.0127
VEN_061_set30__884	-0.2215	0.3838	-0.2171
VEN_061_set31__258	-0.2763	0.2842	-0.2666
VEN_061_set31__267	-0.0707	-0.2756	-0.1583
VEN_061_set31__317	-0.0221	-0.5413	0.1820
VEN_061_set31__344	-0.0137	0.4566	0.0100
VEN_061_set31__387	0.0683	-0.4654	0.2008
VEN_061_set31__411	0.1458	-0.1425	0.2302
VEN_061_set31__418	-0.0051	0.2524	0.0409
VEN_061_set31__465	0.1671	-0.6475	0.3096
VEN_061_set31__503	-0.0509	0.6827	0.0364
VEN_061_set32__112	0.0257	0.6512	0.0479
VEN_061_set32__115	0.0265	0.6472	0.0489
VEN_061_set32__122	0.0028	0.6776	0.0224
VEN_061_set32__137	0.3503	-0.1943	0.3274
VEN_061_set32__138	-0.0699	-0.5524	-0.0619
VEN_061_set32__226	0.3743	-0.4930	0.0008
VEN_061_set32__252	0.3658	-0.0424	0.3546
VEN_061_set32__377	0.0791	0.5038	-0.0306
VEN_061_set32__386	0.1535	0.5477	0.0888
VEN_061_set32__390	0.1941	0.4822	0.1545
VEN_061_set32__703	0.2817	-0.5374	0.4753
VEN_061_set32__717	-0.4775	-0.6227	-0.3888
VEN_061_set32__793	-0.2356	0.3126	-0.1860
VEN_061_set32__827	0.4056	-0.4318	0.4114
VEN_061_set32__87	-0.1814	0.4442	-0.1224
VEN_061_set32__88	-0.0941	0.5869	-0.0619
VEN_061_set32__90	0.0976	0.7174	0.0616
VEN_061_set3__10	-0.3135	-0.8248	-0.3481
