Gene	in_sc	in_sp	class	categories	traits
RNF220	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
RPL3L	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
RPL5	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
RRAGD	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
RYR3	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
SALL1	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract;Valve_defects;Ventricular_septal_defect
SALL4	True	False	impute	CHD	Malformation_of_the_outflow_tract
SAMD11	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
SCN10A	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
SCN5A	True	True	direct	CardiovascularDisease	DilatedCardiomyopathy
SDHA	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
SETD5	True	False	impute	CHD	Atrial_septal_defect;Atrioventricular_septal_defect;Valve_defects
SF3B4	True	False	impute	CHD	Atrioventricular_septal_defect;Malformation_of_the_outflow_tract
SGCD	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
SHOC2	True	False	impute	CHD	Atrial_septal_defect;Valve_defects;Ventricular_septal_defect
SMAD2	True	False	impute	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;Atrioventricular_septal_defect;Malformation_of_the_outflow_tract;PCGC_DeNovoVariants;Valve_defects
SMAD3	True	False	impute	CHD;CardiovascularDisease	Familial_thoracic_aortic_aneurysm_and_aortic_dissection;Single_ventricle_disease;Valve_defects
SMAD4	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract;Valve_defects
SMAD6	True	False	impute	CHD	Malformation_of_the_outflow_tract;Valve_defects
SMARCA4	True	False	impute	CHD	Atrial_septal_defect;Single_ventricle_disease;Valve_defects
SMARCB1	True	False	impute	CHD	Atrial_septal_defect;Valve_defects;Ventricular_septal_defect
SMARCE1	True	False	impute	CHD	Atrial_septal_defect;Valve_defects
SMC1A	True	False	impute	CHD	Atrial_septal_defect;Valve_defects;Ventricular_septal_defect
SMC3	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract;Valve_defects
SMG9	True	False	impute	CHD	Valve_defects
SON	True	False	impute	CHD	Atrial_septal_defect
SOS1	True	False	impute	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;PCGC_DeNovoVariants;Valve_defects;Ventricular_septal_defect
