,receptor,pathway,tf,tf_PPR,category,subcategory
27233,IL9R_IL2RG,Th17 cell differentiation,RORA,0.103292047,Organismal Systems,Immune system
27234,IL9R,Th17 cell differentiation,RORA,0.103292047,Organismal Systems,Immune system
27235,IL2RG,Th17 cell differentiation,RORA,0.103292047,Organismal Systems,Immune system
27236,IL9R_IL2RG,Th17 cell differentiation,RORC,0.103292047,Organismal Systems,Immune system
27237,IL9R,Th17 cell differentiation,RORC,0.103292047,Organismal Systems,Immune system
27238,IL2RG,Th17 cell differentiation,RORC,0.103292047,Organismal Systems,Immune system
27239,IL9R_IL2RG,Th17 cell differentiation,RUNX1,0.069402252,Organismal Systems,Immune system
27240,IL9R,Th17 cell differentiation,RUNX1,0.069402252,Organismal Systems,Immune system
27241,IL2RG,Th17 cell differentiation,RUNX1,0.069402252,Organismal Systems,Immune system
27242,IL9R_IL2RG,Th17 cell differentiation,STAT3,0.120539095,Organismal Systems,Immune system
27243,IL9R,Th17 cell differentiation,STAT3,0.120539095,Organismal Systems,Immune system
27244,IL2RG,Th17 cell differentiation,STAT3,0.120539095,Organismal Systems,Immune system
27245,IL9R_IL2RG,Th17 cell differentiation,STAT5A,0.131546703,Organismal Systems,Immune system
27246,IL9R,Th17 cell differentiation,STAT5A,0.131546703,Organismal Systems,Immune system
27247,IL2RG,Th17 cell differentiation,STAT5A,0.131546703,Organismal Systems,Immune system
27248,IL9R_IL2RG,Th17 cell differentiation,STAT5B,0.131546703,Organismal Systems,Immune system
27249,IL9R,Th17 cell differentiation,STAT5B,0.131546703,Organismal Systems,Immune system
27250,IL2RG,Th17 cell differentiation,STAT5B,0.131546703,Organismal Systems,Immune system
27251,IL9R_IL2RG,Th17 cell differentiation,STAT6,0.132153708,Organismal Systems,Immune system
27252,IL9R,Th17 cell differentiation,STAT6,0.132153708,Organismal Systems,Immune system
27253,IL2RG,Th17 cell differentiation,STAT6,0.132153708,Organismal Systems,Immune system
27254,IL15RA_IL2RB_IL2RG,Th17 cell differentiation,FOXP3,0.145367385,Organismal Systems,Immune system
27255,IL15RA,Th17 cell differentiation,FOXP3,0.145367385,Organismal Systems,Immune system
27256,IL2RB,Th17 cell differentiation,FOXP3,0.145367385,Organismal Systems,Immune system
27257,IL2RG,Th17 cell differentiation,FOXP3,0.145367385,Organismal Systems,Immune system
27258,IL15RA_IL2RB_IL2RG,Th17 cell differentiation,GATA3,0.114139673,Organismal Systems,Immune system
27259,IL15RA,Th17 cell differentiation,GATA3,0.114139673,Organismal Systems,Immune system
27260,IL2RB,Th17 cell differentiation,GATA3,0.114139673,Organismal Systems,Immune system
27261,IL2RG,Th17 cell differentiation,GATA3,0.114139673,Organismal Systems,Immune system
27262,IL15RA_IL2RB_IL2RG,Th17 cell differentiation,HIF1A,0.022446517,Organismal Systems,Immune system
27263,IL15RA,Th17 cell differentiation,HIF1A,0.022446517,Organismal Systems,Immune system
27264,IL2RB,Th17 cell differentiation,HIF1A,0.022446517,Organismal Systems,Immune system
27265,IL2RG,Th17 cell differentiation,HIF1A,0.022446517,Organismal Systems,Immune system
27266,IL15RA_IL2RB_IL2RG,Th17 cell differentiation,RORA,0.103292047,Organismal Systems,Immune system
27267,IL15RA,Th17 cell differentiation,RORA,0.103292047,Organismal Systems,Immune system
27268,IL2RB,Th17 cell differentiation,RORA,0.103292047,Organismal Systems,Immune system
27269,IL2RG,Th17 cell differentiation,RORA,0.103292047,Organismal Systems,Immune system
27270,IL15RA_IL2RB_IL2RG,Th17 cell differentiation,RORC,0.103292047,Organismal Systems,Immune system
27271,IL15RA,Th17 cell differentiation,RORC,0.103292047,Organismal Systems,Immune system
27272,IL2RB,Th17 cell differentiation,RORC,0.103292047,Organismal Systems,Immune system
27273,IL2RG,Th17 cell differentiation,RORC,0.103292047,Organismal Systems,Immune system
27274,IL15RA_IL2RB_IL2RG,Th17 cell differentiation,RUNX1,0.069402252,Organismal Systems,Immune system
27275,IL15RA,Th17 cell differentiation,RUNX1,0.069402252,Organismal Systems,Immune system
27276,IL2RB,Th17 cell differentiation,RUNX1,0.069402252,Organismal Systems,Immune system
27277,IL2RG,Th17 cell differentiation,RUNX1,0.069402252,Organismal Systems,Immune system
27278,IL15RA_IL2RB_IL2RG,Th17 cell differentiation,STAT3,0.120539095,Organismal Systems,Immune system
27279,IL15RA,Th17 cell differentiation,STAT3,0.120539095,Organismal Systems,Immune system
27280,IL2RB,Th17 cell differentiation,STAT3,0.120539095,Organismal Systems,Immune system
27281,IL2RG,Th17 cell differentiation,STAT3,0.120539095,Organismal Systems,Immune system
27282,IL15RA_IL2RB_IL2RG,Th17 cell differentiation,STAT5A,0.131546703,Organismal Systems,Immune system
27283,IL15RA,Th17 cell differentiation,STAT5A,0.131546703,Organismal Systems,Immune system
27284,IL2RB,Th17 cell differentiation,STAT5A,0.131546703,Organismal Systems,Immune system
27285,IL2RG,Th17 cell differentiation,STAT5A,0.131546703,Organismal Systems,Immune system
27286,IL15RA_IL2RB_IL2RG,Th17 cell differentiation,STAT5B,0.131546703,Organismal Systems,Immune system
27287,IL15RA,Th17 cell differentiation,STAT5B,0.131546703,Organismal Systems,Immune system
27288,IL2RB,Th17 cell differentiation,STAT5B,0.131546703,Organismal Systems,Immune system
27289,IL2RG,Th17 cell differentiation,STAT5B,0.131546703,Organismal Systems,Immune system
27290,IL15RA_IL2RB_IL2RG,Th17 cell differentiation,STAT6,0.132153708,Organismal Systems,Immune system
27291,IL15RA,Th17 cell differentiation,STAT6,0.132153708,Organismal Systems,Immune system
27292,IL2RB,Th17 cell differentiation,STAT6,0.132153708,Organismal Systems,Immune system
27293,IL2RG,Th17 cell differentiation,STAT6,0.132153708,Organismal Systems,Immune system
27294,IL21R_IL2RG,Th17 cell differentiation,FOXP3,0.145367385,Organismal Systems,Immune system
27295,IL21R,Th17 cell differentiation,FOXP3,0.145367385,Organismal Systems,Immune system
27296,IL2RG,Th17 cell differentiation,FOXP3,0.145367385,Organismal Systems,Immune system
27297,IL21R_IL2RG,Th17 cell differentiation,GATA3,0.114139673,Organismal Systems,Immune system
