	Atrial_septal_defect	Atrioventricular_septal_defect	DilatedCardiomyopathy	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	HypertrophicCardiomyopathy	Malformation_of_the_outflow_tract	PCGC_DeNovoVariants	Single_ventricle_disease	Valve_defects	Ventricular_septal_defect
VEN_076_set10__674	0.1849	0.0072	0.6385	-0.1788	0.6210	0.1404	0.1417	0.1967	0.0998	0.1980
VEN_076_set10__685	0.5349	0.0589	-0.4294	0.8223	-0.7224	0.3965	0.5189	0.4538	0.5694	0.4574
VEN_076_set10__69	-0.0810	0.0466	0.6096	-0.1015	0.2817	-0.0606	0.0244	-0.1110	0.0140	0.0415
VEN_076_set10__692	0.6371	0.5906	0.9660	0.2647	1.0444	0.5034	0.4888	0.6885	0.5716	0.6011
VEN_076_set10__745	0.5354	0.5040	0.8944	0.1364	0.9682	0.3738	0.4974	0.5243	0.4311	0.5553
VEN_076_set10__837	-0.3665	-0.5717	-0.0576	-0.1619	-0.1682	-0.6879	-0.1599	-0.9705	-0.6256	-0.6091
VEN_076_set18__226	-0.5973	-0.5024	-0.8442	0.0968	-0.7936	-0.4403	-0.4878	-0.4552	-0.5941	-0.7227
VEN_076_set18__306	0.2601	0.2508	-0.2613	0.6822	-0.4414	0.3073	0.4500	0.1225	0.2924	0.2531
VEN_076_set18__366	-0.0939	-0.0902	-0.6174	0.5666	-0.5930	-0.0587	0.0182	-0.3446	0.0006	-0.2071
VEN_076_set19__151	0.0267	0.1060	0.4566	-0.0913	0.4910	0.0589	-0.0680	0.0881	0.0104	0.0202
VEN_076_set19__229	0.2001	0.2387	0.6286	0.0560	0.7341	0.1758	0.1222	0.2731	0.1468	0.2467
VEN_076_set19__230	-0.0094	0.0992	0.4875	-0.1812	0.5392	0.0259	-0.0656	0.1217	-0.0147	-0.0080
VEN_076_set19__243	0.0249	0.0735	0.4772	-0.0764	0.5615	0.0126	-0.0918	0.0998	-0.0031	0.0591
VEN_076_set19__275	-0.0882	-0.0368	0.3203	-0.2027	0.4516	-0.0984	-0.2319	0.0409	-0.1022	-0.0160
VEN_076_set19__358	-0.0443	-0.1884	-0.5049	0.3758	-0.6114	-0.0675	0.1292	-0.1408	-0.0414	-0.1872
VEN_076_set19__658	0.2072	0.2915	0.6280	0.0523	0.7225	0.2326	0.2180	0.4268	0.1623	0.1880
VEN_076_set19__683	0.2029	0.2363	0.7172	-0.1310	0.7497	-0.0067	0.0229	0.0170	0.1073	-0.0140
VEN_076_set19__731	0.4957	0.4471	0.8982	0.2327	0.9777	0.4098	0.4194	0.5868	0.4337	0.5289
VEN_076_set19__748	0.0391	0.0230	0.5288	0.0171	0.6189	0.0202	-0.0479	0.1698	0.0026	0.0831
VEN_076_set19__774	-0.0920	-0.0436	0.2769	-0.4947	0.2689	-0.0208	-0.1382	0.0907	-0.1479	0.0211
VEN_076_set19__841	-0.2988	-0.1923	-0.7215	-0.0984	-0.7492	-0.3109	-0.2415	-0.2283	-0.2313	-0.2205
