gene	peak_celltype	lineage	source	peak_mean
EFTUD2	LEC	Endothelial	imputed	0.1567
EHMT1	BEC	Endothelial	imputed	0.4463
ELN	VSMC	Mural	imputed	1.6806
ESCO2	Proliferating vFibro	Fibroblast	imputed	0.1660
EVC	VIC	VIC	imputed	0.2152
EVC2	VIC	VIC	imputed	0.2207
EYA4	Neuronal	Neural	imputed	0.4614
FBN1	adFibro	Fibroblast	imputed	2.1595
FBN3	Neuronal	Neural	imputed	0.1129
FGFR2	aCM-LA	aCM	imputed	0.5235
FHOD3	vCM-LV-Hybrid	vCM	imputed	2.7103
FKTN	VIC	VIC	imputed	0.3037
FLII	ncCM-AVC-like	ncCM	imputed	0.1481
FLNA	VSMC	Mural	imputed	0.2468
FLNC	vCM-RV-Compact	vCM	imputed	0.4333
FLT4	LEC	Endothelial	imputed	0.3332
FNIP1	vCM-LV-Trabecular I	vCM	imputed	0.2102
FOXC1	aEndocardial	Endothelial	direct	1.1168
FOXC2	VEC	Endothelial	imputed	0.0528
FOXP1	aEndocardial	Endothelial	imputed	0.8651
FRYL	BEC	Endothelial	imputed	1.3096
GANAB	LEC	Endothelial	imputed	0.2380
GATA4	ncCM-AVC-like	ncCM	imputed	1.2855
GATA5	vCM-IVS-His	vCM	imputed	0.0523
GATA6	VIC	VIC	imputed	1.0929
GATAD1	ncCM-AVC-like	ncCM	imputed	0.2192
GJA1	LEC	Endothelial	direct	2.3543
GLI3	adFibro	Fibroblast	imputed	1.1373
GPBAR1	aEndocardial	Endothelial	imputed	0.0194
GPC3	Compact vFibro	Fibroblast	imputed	1.4980
HAAO	EPDC	Fibroblast	imputed	0.1378
HAND1	vCM-LV-AV	vCM	direct	0.2130
HAND2	ncCM-AVC-like	ncCM	direct	1.0706
HDAC8	aEndocardial	Endothelial	imputed	0.1336
HNRNPK	vCM-RV-Proliferating	vCM	imputed	1.1562
HRAS	LEC	Endothelial	imputed	0.0375
INVS	VEC	Endothelial	imputed	0.7844
